Department,Department Name,Division,Gender,Base Salary,2020 Overtime Pay,2020 Longevity Pay,Grade
ABS,Alcohol Beverage Services,Wholesale Administration,F,78902,199.17,0,18
ABS,Alcohol Beverage Services,Administrative Services,F,35926,0,4038.91,16
ABS,Alcohol Beverage Services,Administration,M,167345,0,0,M2
ABS,Alcohol Beverage Services,Wholesale Operations,F,90848,0,5717.68,21
ABS,Alcohol Beverage Services,Administration,F,78902,205.16,2460.24,18
ABS,Alcohol Beverage Services,Marketing,F,109761,0,0,25
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,68575,6605.54,0,15
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,50604.28,804.88,0,10
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,50865.5,4140.43,0,10
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,49359.65,4084.43,0,10
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",M,90848,0,0,21
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,63424.48,0,0,15
ABS,Alcohol Beverage Services,Potomac,M,80050.85,193.32,0,21
ABS,Alcohol Beverage Services,Burtonsville,M,43827.02,0,0,12
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,75290,15146.04,0,17
ABS,Alcohol Beverage Services,Wheaton,M,65464,622.26,4140.72,14
ABS,Alcohol Beverage Services,Cloverly,M,90848,0,0,21
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,54407,4223.06,1570.07,10
ABS,Alcohol Beverage Services,Westwood,M,77336.55,1519.7,0,21
ABS,Alcohol Beverage Services,Cabin John,M,90848,0,0,21
ABS,Alcohol Beverage Services,Kensington,M,83028.74,702.38,0,21
ABS,Alcohol Beverage Services,Retail Administration,M,59660,547.76,3773.52,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,62488,119.54,0,13
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,49596.86,1983.49,0,10
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,51706.08,3786.01,0,12
ABS,Alcohol Beverage Services,Walnut Hill,M,72769.06,294.6,0,18
ABS,Alcohol Beverage Services,Leisure World,F,61265.18,29.61,0,18
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,47687.17,2709.69,0,10
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,55154.39,2165.37,0,12
ABS,Alcohol Beverage Services,Beer Loading,M,51706.08,5785.54,0,12
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",M,90848,4225.84,0,21
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,54407,984.33,3440.6,10
ABS,Alcohol Beverage Services,Burtonsville,F,78902,1757.16,0,18
ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,59660,3720.41,1859.76,12
ABS,Alcohol Beverage Services,Customer Service,M,64045.95,277.2,0,18
ABS,Alcohol Beverage Services,Poolesville,M,65464,2591.02,0,14
ABS,Alcohol Beverage Services,Wholesale Operations,M,90848,0,5717.68,21
ABS,Alcohol Beverage Services,Olney,M,84046.57,0,0,21
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,47688.64,3137.38,0,10
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,62488,1143.69,3952.82,13
ABS,Alcohol Beverage Services,Burtonsville,M,87219.23,0,0,21
ABS,Alcohol Beverage Services,Montrose,M,65464,17.54,2041.09,14
ABS,Alcohol Beverage Services,Poolesville,M,67415.85,1282.58,0,21
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,65128.71,22623.21,0,18
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,78902,25958.06,0,18
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",F,167345,0,0,M2
ABS,Alcohol Beverage Services,Retail Administration,M,103430.45,0,0,25
ABS,Alcohol Beverage Services,Montrose,M,65464,417.89,2041.23,14
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,66297.8,952.11,0,15
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",M,109761,0,2280.96,25
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,47688.64,6206.26,0,10
