标题,评分,评价人数
肖申克的救赎,9.7,3233459
控方证人,9.6,692148
茶馆,9.6,202018
霸王别姬,9.6,2386584
高山下的花环,9.5,152526
辛德勒的名单,9.5,1230972
美丽人生,9.5,1460696
阿甘正传,9.5,2396226
泰坦尼克号,9.5,2456398
背靠背，脸对脸,9.5,175402
星际穿越,9.4,2136495
这个杀手不太冷,9.4,2520573
盗梦空间,9.4,2291051
楚门的世界,9.4,1979739
忠犬八公的故事,9.4,1523491
千与千寻,9.4,2496621
大闹天宫,9.4,501099
十二怒汉,9.4,567447
还有明天,9.3,340301
指环王3：王者无敌,9.3,896442
乱世佳人,9.3,780343
鬼子来了,9.3,704699
海蒂和爷爷,9.3,759200
素媛,9.3,765536
七武士,9.3,231749
活着,9.3,954913
海豚湾,9.3,379553
教父,9.3,1087757
教父2,9.3,628092
熔炉,9.3,1023402
海上钢琴师,9.3,1854150
疯狂动物城,9.3,2241658
机器人总动员,9.3,1465450
放牛班的春天,9.3,1452437
无间道,9.3,1538680
摩登时代,9.3,341431
钢琴家,9.3,737529
城市之光,9.3,170164
触不可及,9.3,1273466
芙蓉镇,9.3,185668
末代皇帝,9.3,1011680
天书奇谭,9.2,327642
死亡诗社,9.2,861730
饮食男女,9.2,711427
穿条纹睡衣的男孩,9.2,633269
天堂电影院,9.2,732779
蝙蝠侠：黑暗骑士,9.2,1176649
指环王2：双塔奇兵,9.2,843861
小鞋子,9.2,457053
哪吒闹海,9.2,304330
天空之城,9.2,994692
窃听风暴,9.2,624575
忠犬八公物语,9.2,216496
龙猫,9.2,1392744
哈利·波特与魔法石,9.2,1395003
大话西游之大圣娶亲,9.2,1686928
三傻大闹宝莱坞,9.2,2048726
辩护人,9.2,650816
拯救大兵瑞恩,9.1,715795
飞越疯人院,9.1,596690
一一,9.1,492556
雨中曲,9.1,264061
美国往事,9.1,465032
狩猎,9.1,461614
未麻的部屋,9.1,417160
完美的世界,9.1,356462
机器人之梦,9.1,399417
音乐之声,9.1,674617
无人知晓,9.1,367834
两杆大烟枪,9.1,666920
狮子王,9.1,946322
怦然心动,9.1,2022775
寻梦环游记,9.1,1943080
飞屋环游记,9.1,1475712
哈尔的移动城堡,9.1,1266273
猫鼠游戏,9.1,1187317
少年派的奇幻漂流,9.1,1472493
何以为家,9.1,1149908
闻香识女人,9.1,1007147
黑客帝国,9.1,935362
指环王1：护戒使者,9.1,945328
罗马假日,9.1,1035954
当幸福来敲门,9.1,1665403
美丽心灵,9.1,844485
