标题,评分,评价人数
肖申克的救赎,9.7,3228831
茶馆,9.6,201207
控方证人,9.6,690243
霸王别姬,9.6,2383243
背靠背，脸对脸,9.5,174809
辛德勒的名单,9.5,1229681
美丽人生,9.5,1458967
阿甘正传,9.5,2393212
泰坦尼克号,9.5,2452500
高山下的花环,9.5,151689
星际穿越,9.4,2132656
这个杀手不太冷,9.4,2517539
盗梦空间,9.4,2288038
楚门的世界,9.4,1976487
忠犬八公的故事,9.4,1521768
千与千寻,9.4,2493085
大闹天宫,9.4,500263
十二怒汉,9.4,566448
还有明天,9.3,336096
指环王3：王者无敌,9.3,895255
乱世佳人,9.3,779110
鬼子来了,9.3,703771
素媛,9.3,764629
海蒂和爷爷,9.3,757363
七武士,9.3,231229
海豚湾,9.3,379299
活着,9.3,953303
教父,9.3,1086114
教父2,9.3,626973
摩登时代,9.3,340924
海上钢琴师,9.3,1852105
疯狂动物城,9.3,2224915
机器人总动员,9.3,1463037
放牛班的春天,9.3,1450672
末代皇帝,9.3,1010015
无间道,9.3,1536557
熔炉,9.3,1022347
城市之光,9.3,169807
触不可及,9.3,1271532
芙蓉镇,9.3,185122
钢琴家,9.3,736340
天书奇谭,9.2,326758
天堂电影院,9.2,731967
穿条纹睡衣的男孩,9.2,632466
指环王2：双塔奇兵,9.2,842730
死亡诗社,9.2,859935
蝙蝠侠：黑暗骑士,9.2,1175171
小鞋子,9.2,456431
哪吒闹海,9.2,303810
天空之城,9.2,993354
窃听风暴,9.2,623909
辩护人,9.2,650204
忠犬八公物语,9.2,216168
龙猫,9.2,1391094
哈利·波特与魔法石,9.2,1392582
大话西游之大圣娶亲,9.2,1684811
三傻大闹宝莱坞,9.2,2046174
饮食男女,9.2,710185
拯救大兵瑞恩,9.1,714879
飞越疯人院,9.1,595846
雨中曲,9.1,263537
一一,9.1,490824
美国往事,9.1,464122
狩猎,9.1,460682
未麻的部屋,9.1,416303
完美的世界,9.1,355976
机器人之梦,9.1,396953
音乐之声,9.1,673744
无人知晓,9.1,367324
两杆大烟枪,9.1,666074
狮子王,9.1,944900
怦然心动,9.1,2020292
寻梦环游记,9.1,1938060
飞屋环游记,9.1,1473447
哈尔的移动城堡,9.1,1263947
猫鼠游戏,9.1,1185035
少年派的奇幻漂流,9.1,1470891
何以为家,9.1,1148718
闻香识女人,9.1,1005746
黑客帝国,9.1,934118
指环王1：护戒使者,9.1,944098
罗马假日,9.1,1034539
当幸福来敲门,9.1,1663529
美丽心灵,9.1,843609
红辣椒,9.0,557535
惊魂记,9.0,349539
玛丽和麦克斯,9.0,464893
我是山姆,9.0,371954
喜宴,9.0,423597
小森林 冬春篇,9.0,415874
末路狂花,9.0,336778
大话西游之月光宝盒,9.0,1344819
摔跤吧！爸爸,9.0,1720609
让子弹飞,9.0,1891728
上帝之城,9.0,330134
教父3,9.0,425270
我不是药神,9.0,2319153
哈利·波特与死亡圣器(下),9.0,954277
哈利·波特与阿兹卡班的囚徒,9.0,873648
攻壳机动队,9.0,213028
春光乍泄,9.0,701350
小森林 夏秋篇,9.0,468398
心灵捕手,9.0,803417
本杰明·巴顿奇事,9.0,1089376
东京教父,9.0,283942
搏击俱乐部,9.0,955261
超脱,9.0,709779
侧耳倾听,8.9,514812
低俗小说,8.9,943521
玩具总动员3,8.9,582964
沉默的羔羊,8.9,999792
致命魔术,8.9,951269
绿里奇迹,8.9,382890
功夫,8.9,1310470
虎口脱险,8.9,291493
谍影重重3,8.9,464979
爱在午夜降临前,8.9,465737
风之谷,8.9,390145
2001太空漫游,8.9,387394
卢旺达饭店,8.9,363631
可可西里,8.9,341778
你看起来好像很好吃,8.9,371279
牯岭街少年杀人事件,8.9,361863
西西里的美丽传说,8.9,1079799
新世界,8.9,517713
一个叫欧维的男人决定去死,8.9,559027
隐藏人物,8.9,266219
蝙蝠侠：黑暗骑士崛起,8.9,803231
甜蜜蜜,8.9,660372
绿皮书,8.9,1860401
幽灵公主,8.9,658844
布达佩斯大饭店,8.9,1067146
7号房的礼物,8.9,614823
入殓师,8.9,736609
爱在日落黄昏时,8.9,642734
借东西的小人阿莉埃蒂,8.9,619537
菊次郎的夏天,8.9,666075
情书,8.9,1300945
第六感,8.9,627628
蝴蝶效应,8.9,1051746
勇敢的心,8.9,600389
禁闭岛,8.9,1096159
致命ID,8.9,932443
杀人回忆,8.9,822573
哈利·波特与密室,8.9,899038
超能陆战队,8.8,1129160
千钧一发,8.8,344253
达拉斯买家俱乐部,8.8,500581
无间道2,8.8,558403
黑客帝国3：矩阵革命,8.8,491924
倩女幽魂,8.8,826855
唐伯虎点秋香,8.8,1207111
寄生虫,8.8,1527236
海街日记,8.8,514118
阿凡达,8.8,1552313
驯龙高手,8.8,851699
大红灯笼高高挂,8.8,362053
七宗罪,8.8,1046474
终结者2：审判日,8.8,380052
纵横四海,8.8,469218
加勒比海盗,8.8,954666
喜剧之王,8.8,1078834
罗生门,8.8,353857
阳光姐妹淘,8.8,632777
被解救的姜戈,8.8,682277
萤火之森,8.8,602440
花样年华,8.8,790437
魂断蓝桥,8.8,307362
时空恋旅人,8.8,778350
阳光灿烂的日子,8.8,686898
断背山,8.8,772517
怪兽电力公司,8.8,759171
头脑特工队,8.8,787022
幸福终点站,8.8,633545
九品芝麻官,8.8,781877
看不见的客人,8.8,1419453
哈利·波特与火焰杯,8.8,786822
请以你的名字呼唤我,8.8,813134
步履不停,8.8,320550
告白,8.8,735477
爱在黎明破晓前,8.8,786080
重庆森林,8.8,911395
被嫌弃的松子的一生,8.8,765952
千年女优,8.8,313464
模仿游戏,8.8,713333
大鱼,8.8,620582
萤火虫之墓,8.7,435875
遗愿清单,8.7,529790
大佛普拉斯,8.7,545551
房间,8.7,396988
疯狂的麦克斯4：狂暴之路,8.7,611129
血钻,8.7,417856
雨人,8.7,439418
荒蛮故事,8.7,510563
新龙门客栈,8.7,502444
战争之王,8.7,410759
无耻混蛋,8.7,551898
人工智能,8.7,496438
谍影重重2,8.7,394835
黑客帝国2：重装上阵,8.7,450273
血战钢锯岭,8.7,851464
岁月神偷,8.7,609190
神偷奶爸,8.7,1035790
小丑,8.7,1115374
魔女宅急便,8.7,518591
三块广告牌,8.7,910235
疯狂原始人,8.7,911867
心迷宫,8.7,607606
记忆碎片,8.7,662112
心灵奇旅,8.7,1123162
射雕英雄传之东成西就,8.7,710403
恐怖直播,8.7,720712
电锯惊魂,8.7,604488
色，戒,8.7,945680
无敌破坏王,8.7,604669
小偷家族,8.7,887834
天使爱美丽,8.7,1013576
傲慢与偏见,8.7,915043
消失的爱人,8.7,1060120
冰川时代,8.7,678875
剪刀手爱德华,8.7,1110967
釜山行,8.6,1334352
蜘蛛侠：平行宇宙,8.6,748319
奇迹男孩,8.6,595965
海边的曼彻斯特,8.6,641610
彗星来的那一夜,8.6,673651
哈利·波特与凤凰社,8.6,684156
头号玩家,8.6,1499329
崖上的波妞,8.6,568153
青蛇,8.6,595092
东邪西毒,8.6,629865
源代码,8.6,916265
英雄本色,8.6,599825
贫民窟的百万富翁,8.6,801594
黑天鹅,8.6,840117
哈利·波特与死亡圣器(上),8.6,684700
花束般的恋爱,8.6,807397
疯狂的石头,8.6,915107
爆裂鼓手,8.6,682169
白日梦想家,8.6,630605
波西米亚狂想曲,8.6,681865
恐怖游轮,8.5,977067
冰雪奇缘,8.5,810646
真爱至上,8.5,798357
你的名字。,8.5,1574646
火星救援,8.5,821580
恋恋笔记本,8.5,740607
初恋这件小事,8.5,1044651
小姐,8.5,560791
爱乐之城,8.4,1080417
